device_id,segment_id,start_date,end_date,length_days,start_level,end_level,drop,decay_rate,month,period_stage,eligible_pure_decay,ineligible_reason
a5,19,2025-10-09,2025-11-02,24,74.68479210697839,60.2625658539149,-14.422226253063492,-0.6009260938776455,10,late,True,
a5,20,2025-11-10,2026-01-04,55,71.36456476757995,40.1721331847805,-31.19243158279945,-0.5671351196872627,11,late,True,
a5,21,2026-01-12,2026-02-05,24,64.32009171658399,48.36409449659115,-15.955997219992838,-0.6648332174997016,1,late,True,
a5,22,2026-02-07,2026-02-22,15,47.535908562475456,38.29074252148,-9.245166040995457,-0.6163444027330305,2,late,True,
a5,23,2026-03-02,2026-03-11,9,57.64256558655261,54.4549764564471,-3.1875891301055077,-0.3541765700117231,3,late,True,
a5,24,2026-03-16,2026-03-30,14,53.56835051768055,48.994349381910396,-4.574001135770153,-0.32671436684072525,3,late,True,
a6,1,2024-04-08,2024-04-29,21,47.1632149510996,40.9415583896628,-6.221656561436795,-0.2962693600684188,4,early,True,
a6,2,2024-05-15,2024-06-01,17,41.1094378341609,36.35573971239885,-4.753698121762049,-0.27962930128012053,5,early,True,
a6,3,2024-06-10,2024-07-15,35,61.5337651939474,57.30472316572245,-4.229042028224953,-0.12082977223499865,6,early,True,
a6,4,2024-07-17,2024-08-23,37,60.410548482658655,55.27558016805405,-5.134968314604606,-0.1387829274217461,7,early,True,
a6,5,2024-08-31,2024-09-06,6,81.9922700821043,77.7029707728907,-4.289299309213604,-0.7148832182022673,8,early,True,
a6,6,2024-09-09,2024-10-06,27,77.4695766583389,61.999156103690495,-15.470420554648399,-0.5729785390610518,9,early,True,
a6,7,2024-10-09,2024-11-02,24,59.5111842036154,43.6054707712576,-15.9057134323578,-0.662738059681575,10,early,True,
a6,8,2024-11-10,2024-11-28,18,61.5837263373947,48.3472779889696,-13.2364483484251,-0.7353582415791722,11,early,True,
a6,9,2024-11-30,2024-12-08,8,48.0852112990213,42.37712234428975,-5.708088954731551,-0.7135111193414438,11,early,True,
a6,10,2024-12-13,2024-12-27,14,41.609201956722,31.604662877595153,-10.00453907912685,-0.7146099342233464,12,early,True,
a6,11,2025-01-04,2025-01-30,26,69.827178297427,56.4711563580339,-13.356021939393095,-0.5136931515151191,1,early,True,
a6,12,2025-02-03,2025-02-15,12,55.86436227588235,49.3180322222493,-6.546330053633049,-0.5455275044694208,2,early,True,
a6,13,2025-02-23,2025-03-02,7,71.82518996390479,68.53861996291914,-3.286570000985648,-0.4695100001408069,2,early,True,
a6,14,2025-03-04,2025-04-07,34,67.8126452359375,58.18819436468,-9.624450871257494,-0.2830720844487498,3,early,True,
a6,15,2025-04-15,2025-04-25,10,81.9817760008234,79.086098714475,-2.895677286348402,-0.2895677286348402,4,late,True,
a6,16,2025-05-01,2025-05-31,30,78.6235060024954,71.0714549807105,-7.552051021784905,-0.2517350340594968,5,late,True,
a6,17,2025-06-08,2025-07-04,26,97.15448251557065,92.4378138336173,-4.716668681953351,-0.18141033392128272,6,late,True,
a6,18,2025-07-07,2025-07-17,10,94.0768480538451,90.7371665808427,-3.3396814730024005,-0.33396814730024005,7,late,True,
a6,19,2025-07-19,2025-08-19,31,91.1703469950305,87.257098926248,-3.9132480687824938,-0.126233808670403,7,late,True,
a6,20,2025-08-27,2025-10-14,48,122.994828842779,97.7935934251154,-25.201235417663597,-0.5250257378679916,8,late,True,
a6,21,2025-10-16,2025-10-29,13,97.14891203737969,88.814104028516,-8.334808008863689,-0.6411390776048992,10,late,True,
a6,22,2025-11-06,2025-12-05,29,103.076231474683,86.29009519994835,-16.786136274734645,-0.5788322853356774,11,late,True,
a6,23,2025-12-07,2025-12-30,23,85.6041773472692,74.2751200468461,-11.329057300423102,-0.4925677087140479,12,late,True,
a6,24,2026-01-07,2026-01-23,16,94.32095912771621,81.72028334278305,-12.60067578493316,-0.7875422365583225,1,late,True,
a6,25,2026-01-25,2026-02-11,17,80.32182335761345,70.33149244201795,-9.990330915595507,-0.5876665244467946,1,late,True,
a6,26,2026-02-19,2026-02-27,8,83.5170971625499,79.07342656398956,-4.443670598560345,-0.5554588248200432,2,late,True,
a6,27,2026-03-01,2026-03-09,8,79.28407806738406,76.0083977512596,-3.2756803161244648,-0.4094600395155581,3,late,True,
a6,28,2026-03-11,2026-03-20,9,75.6642616735023,73.64251065301605,-2.021751020486249,-0.22463900227624992,3,late,True,
a6,29,2026-03-29,2026-04-10,12,87.38761529218615,81.2486943197413,-6.138920972444851,-0.5115767477037375,3,late,True,
a7,1,2024-04-05,2024-04-21,16,90.3519057414475,87.00944157570501,-3.3424641657424843,-0.20890401035890527,4,early,True,
a7,2,2024-04-24,2024-04-29,5,86.7445798846649,84.8944864039947,-1.8500934806701963,-0.37001869613403926,4,early,True,
a7,3,2024-05-22,2024-06-01,10,93.67150176649244,91.53623276631305,-2.1352690001793917,-0.21352690001793917,5,early,True,
a7,4,2024-06-03,2024-06-30,27,91.8348845080925,87.21012714211945,-4.624757365973053,-0.17128730985085383,6,early,True,
a7,5,2024-07-08,2024-08-09,32,104.691365729562,99.5931644600482,-5.098201269513794,-0.15931878967230606,7,early,True,
a7,6,2024-08-22,2024-09-20,29,100.6243449930935,90.1826284762175,-10.441716516876,-0.3600591902371034,8,early,True,
a7,7,2024-09-28,2024-10-31,33,120.5245795063275,100.094199056648,-20.430380449679504,-0.6191024378690759,9,early,True,
a7,8,2024-11-04,2024-11-18,14,98.12995716479645,88.0132531075012,-10.116704057295252,-0.7226217183782323,11,early,True,
a7,9,2024-11-26,2024-12-02,6,103.359815008819,98.85504516009365,-4.504769848725346,-0.7507949747875576,11,early,True,
a7,10,2024-12-04,2025-01-13,40,98.2789254911263,79.2129293201424,-19.065996170983908,-0.4766499042745977,12,early,True,
a7,11,2025-01-24,2025-01-30,6,77.70769594952415,74.9090336242719,-2.798662325252252,-0.46644372087537533,1,early,True,
a7,12,2025-02-03,2025-02-20,17,74.12598573241479,68.0614745599159,-6.0645111724988965,-0.3567359513234645,2,early,True,
a7,13,2025-03-05,2025-03-21,16,93.03132065237925,89.9494809722213,-3.0818396801579553,-0.1926149800098722,3,early,True,
a7,14,2025-03-23,2025-04-12,20,89.697156385745,84.0502615474868,-5.646894838258206,-0.28234474191291026,3,early,True,
a7,15,2025-04-26,2025-06-12,47,102.246766530694,98.1118399320588,-4.134926598635204,-0.08797716167308944,4,late,True,
