device_id,year,n_major_before_cap,n_major_after_cap,n_major_downgraded_to_medium,cap_rule
a10,2030,1,1,0,0_to_4_major_per_year
a10,2031,1,1,0,0_to_4_major_per_year
a10,2032,2,2,0,0_to_4_major_per_year
a10,2033,1,1,0,0_to_4_major_per_year
a10,2034,2,2,0,0_to_4_major_per_year
a10,2035,1,1,0,0_to_4_major_per_year
a10,2036,2,2,0,0_to_4_major_per_year
a10,2037,1,1,0,0_to_4_major_per_year
a10,2060,1,1,0,0_to_4_major_per_year
a10,2058,1,1,0,0_to_4_major_per_year
a10,2059,2,2,0,0_to_4_major_per_year
a10,2056,1,1,0,0_to_4_major_per_year
a10,2055,2,2,0,0_to_4_major_per_year
a10,2054,1,1,0,0_to_4_major_per_year
a10,2057,2,2,0,0_to_4_major_per_year
a10,2045,1,1,0,0_to_4_major_per_year
a10,2046,2,2,0,0_to_4_major_per_year
a10,2047,1,1,0,0_to_4_major_per_year
a10,2048,1,1,0,0_to_4_major_per_year
a10,2049,2,2,0,0_to_4_major_per_year
a10,2050,1,1,0,0_to_4_major_per_year
a10,2051,2,2,0,0_to_4_major_per_year
a10,2052,1,1,0,0_to_4_major_per_year
a10,2053,2,2,0,0_to_4_major_per_year
